sample,D_angle,D_position,bottom_internal_pull_strength,bottom_morse_cutoff,bottom_morse_u0,bottom_morse_v0,bottom_morse_xi1,bottom_morse_xi2,cil_intensity,cil_wall_intensity,run_speed_min,run_to_tumble_rate_max,run_to_tumble_rate_min,theta_alignment,top_internal_pull_strength,top_morse_cutoff,top_morse_u0,top_morse_v0,top_morse_xi1,top_morse_xi2,tumble_to_run_rate_max,tumble_to_run_rate_min,cohesion_rg,penetration,front_x,pareto
24,0.04982058704560122,0.014296035712173975,2.72530887458859,44.44192509545972,23.013566242681186,9.571068465518245,22.939739483324647,68.79929674327136,0.05834001479209008,0.05326247311374777,68.78071640097062,0.8636261519626939,0.03278430166069985,3.8991742019842954,0.49845878790409426,70.84114863130368,88.85019033480712,35.55778655612145,7.23709449081619,40.331113772476954,1.7782869519719826,0.9443403420382266,40.00031834686736,6.909040410044554,149.0085756575108,false
25,0.09567686538451975,0.11910981140261905,1.699062981112304,94.58016235699084,29.131070355043427,8.403355529368675,12.784732511231477,71.29138682726175,0.06829132848224342,0.07598564172808875,68.77005827851127,0.9598580071683632,0.13659646462807126,0.8921021428096144,1.8017987617116291,30.796116856351652,92.46583307668924,33.90499876853932,9.280214175542309,70.48821786300587,2.906113333101892,0.4392220261407853,34.1196063242985,11.142718092344417,150.49730393256607,false
26,0.0017088121672151069,0.013642954718094664,2.6633731814767425,95.06771706830169,10.884787418781563,13.904918927194947,23.33499358198312,58.78015268534358,0.07656296429045789,0.010338152033957541,63.82246245280398,0.7194046055915266,0.1681223434828831,5.42666748967535,3.5812399081643216,82.50169932273641,58.14816009289042,42.666602386000164,5.13729031653477,65.01972685302368,2.261902826698359,1.4777878771289914,NaN,NaN,NaN,false
27,0.051570401365351515,0.05818807114825349,0.7808254941592421,74.6236373405958,4.258039652271121,12.968461835083625,3.1158546062755383,41.25979634748453,0.016924989749140584,0.04633834312542007,26.185595457706803,1.1341039177526886,0.14043280290915747,2.276377105882796,0.8899067864342287,64.47701763043364,119.05320876710012,25.56146322575601,12.516244319919878,29.30091329855071,2.264114737915356,1.5326624989795403,10.327398120987489,1.0240708551811153,112.59035209935557,false
28,0.060064762654632425,0.11901654913201196,3.7072691154624215,63.4927245557128,19.26595799116542,13.592898489517195,24.5397166490429,32.46624818891816,0.050253289580262636,0.06422163360035475,69.77004458089255,0.3781795952886571,0.13837676299163307,6.600571988973451,1.5231839203804425,55.308042483059666,63.43374207971311,46.76018050942341,10.175778709388407,68.11544925053204,2.37222673497696,1.759338338299871,35.64441732927159,21.96507483327771,163.75384388130112,false
29,0.15520072736502566,0.0937084695367525,0.5213301108972086,49.79775023032617,15.3241019327425,12.036898670101689,16.612773278687595,56.22399171544274,0.04423687152243073,0.006145062719531432,23.118508099225107,0.9166981460668897,0.14442772907424256,6.725853220659028,2.290002372059015,33.89838945954432,39.577773943346884,23.579041652020532,5.771845999762213,70.05660368262961,3.3948363290525987,0.9451639223647355,82.62621278787105,5.941561976303049,205.2597532205848,false
30,0.049837462555116785,0.018207947052574613,3.5957343369721264,37.87117931948994,15.178284186817683,15.782145354543932,20.54521170546139,29.514373272059757,0.009670012597828315,0.009413011089641472,59.495612360771915,1.0226182459983235,0.059229417117297324,6.519145794517574,1.8269371128646736,49.33963625212067,61.22664660826564,18.51159682403425,9.80451708867096,32.379712360592926,2.7415554257750316,1.7020660103682925,310.2952494089253,392.50968631599693,983.863392643578,false
31,0.22693926186673463,0.11457196999346407,2.600103192257876,87.38496103029618,17.544030956439435,16.98964102827284,18.32792716765479,56.83108339577336,0.07744855140721522,0.05366646937893683,60.238695691922686,0.23758020839559263,0.16884277017285126,0.9996731406604675,2.066653915456193,64.54127442857882,91.76723142254858,7.206274678289945,7.214900262362734,63.23642800955033,2.4315412768011146,1.7828520390110438,15.767447614569118,12.445624747286033,128.50817400452823,false
32,0.09081678191283679,0.08241289011855829,3.06042800170088,30.16354147158797,13.85262695451092,7.28155322869237,15.04623021734136,66.95420903588216,0.0033838490139383205,0.032703272788392614,48.812268169234684,0.19385920167151868,0.1311480679978938,0.9767360947823298,0.9920368529686932,62.116913559257455,63.877908865832076,34.26890617391435,12.777249320274612,57.432180932118456,3.0829010487256214,0.755946973738547,27.006854526783094,13.054220830296025,145.84993673525906,false
33,0.07443947845812746,0.07693396804010427,1.4055908614054653,38.501674438572735,16.93448872696558,5.2420053145104735,10.754742087940013,54.01457041192627,0.041791682745341834,0.022356354081298102,43.281253781576495,0.9452309190882905,0.08700839621618225,4.374077367453333,1.2464586196831915,85.12689650953502,112.84639412176114,29.17799084426002,12.032162465352815,59.82765470419125,1.8167720149593523,1.1138290252897927,55.2163910562048,24.713170950550058,189.1634403813226,false
34,0.019139580050775346,0.1102928642320401,2.94940317062015,43.36580260737651,22.501160651234656,8.523682803983306,9.302855901216557,31.20336777133894,0.010829946148652745,0.009469006472389428,46.59043071322649,0.6306068102174105,0.021269279787998606,4.0457467269942375,2.435267144690038,94.62228936381739,78.99367493480133,53.047645457533385,2.9922613616124156,38.93448849215757,3.2352192995067055,1.306087975312737,NaN,NaN,NaN,false
35,0.06948437792316145,0.05949609152087766,0.6024498982033122,99.3704748997142,6.961306290588162,9.17482199030795,5.635864876662287,46.86451257988121,0.07464603782342567,0.011411946452242949,55.493218223707764,0.3645008704008312,0.14975462990529484,5.4524134800658794,0.594123997612837,38.91472830416408,13.968882058984633,43.59667665074645,10.03100832924772,21.363310791059043,1.3683468742369649,1.3083271301885369,10.75131491744596,-1.4338477934335359,110.8788674362751,false
