time,cell_id,bottom_x,bottom_y,top_x,top_y
249,1,630.1442789712163,903.8351921189578,635.4706835154237,895.3845856947787
250,1,630.1958466538158,903.8914542936456,635.3815501166926,895.347709938986
251,1,630.2415552985036,903.9501299117369,635.2919390328724,895.3162780203294
252,1,630.2912811629056,903.9963398496162,635.1949904938493,895.2880698965554
253,1,630.3438760521569,904.0445153598733,635.0954865951262,895.2622354991361
254,1,630.3953322193986,904.1012786679274,634.9918217366577,895.2344506384908
255,1,630.4453356398051,904.153601404986,634.8958604329941,895.2043750488663
256,1,630.4994293621565,904.2032173154669,634.7985431848434,895.1755467880012
257,1,630.5550107749044,904.2425211795106,634.694259209306,895.155753751779
258,1,630.6101478973051,904.2891044265588,634.5891087967777,895.1265060200141
259,1,630.6635477900427,904.3334470377538,634.483675776386,895.1096481532942
260,1,630.716485561803,904.3824815486415,634.3827306372524,895.0951907366742
261,1,630.773040263662,904.4254149020413,634.2808301939298,895.0827799197633
262,1,630.8248128852343,904.4675329641209,634.1802821702183,895.0613383407057
263,1,630.8735364336372,904.4971329304525,634.0903134452191,895.04301088921
264,1,630.9193808361836,904.5209131671459,633.9968873857985,895.013970720224
265,1,630.9596634336996,904.5369456718247,633.9028387041684,894.9835300559637
266,1,631.0000258213705,904.545794476603,633.8104166068418,894.9559857678031
267,1,631.0413284000698,904.559902252072,633.7123402754875,894.9323995056336
268,1,631.0747488906719,904.579720010711,633.6205346005592,894.9094924469953
269,1,631.1080656344742,904.5985298523601,633.5282661840032,894.8945745341148
270,1,631.1390983466289,904.6152421969364,633.4388805229725,894.8777549176455
271,1,631.1704411775896,904.6326100183526,633.3519665184091,894.8658726513074
272,1,631.1931957194029,904.6459425244262,633.2597002135234,894.8595124858415
273,1,631.218011461071,904.6577631930477,633.1685969817382,894.8522825961355
274,1,631.2335839465443,904.6630574202204,633.0720683826504,894.8394928340133
275,1,631.2391233321486,904.6773306266155,632.9778963522184,894.8269575460344
276,1,631.24226094428,904.6933409369478,632.8847397462217,894.8210637618403
277,1,631.2444985700314,904.709197602522,632.7904716392503,894.8195138097034
278,1,631.2505906528124,904.7258512731698,632.6982994552466,894.8121803302167
279,1,631.2519070005121,904.7425540740616,632.6017600325397,894.8084997408267
280,1,631.2481046144729,904.7585928954758,632.5053752765549,894.804671132512
281,1,631.2465204380593,904.7690549590285,632.4116936892038,894.805020931264
282,1,631.2466325505127,904.778616331006,632.3154062970359,894.8076443205249
283,1,631.2480968041997,904.7798548890391,632.2242839640584,894.8150870638292
284,1,631.25685598192,904.7830150877045,632.1341757734087,894.8245066545546
285,1,631.2624361422091,904.7895118687096,632.0395245840841,894.8320010232509
286,1,631.2569421939013,904.7965695880837,631.9506498401232,894.8395827552276
287,1,631.246020030218,904.8085721205152,631.8673792869433,894.8430794974619
288,1,631.2404742031089,904.8088838787504,631.78200220508,894.8507558910462
289,1,631.2339831157027,904.820438444073,631.6987817804354,894.8443759630959
290,1,631.225051887721,904.8239328319329,631.6106816281534,894.8429272485077
291,1,631.2203677925032,904.8253011930506,631.5171503702948,894.8446156315489
292,1,631.2096796003009,904.8315674641905,631.4236250476508,894.8468674743133
293,1,631.2008878730164,904.8405264658419,631.3291616887027,894.8507596379095
294,1,631.1923155294006,904.8564155485461,631.2394994456225,894.8561171828466
295,1,631.1912073565547,904.8679185574629,631.1447895319554,894.872794987686
296,1,631.1935279252758,904.8910099708633,631.0502467964455,894.8864125159985
297,1,631.1980417903211,904.9125833498236,630.9584901041673,894.9025570102448
298,1,631.2046560951378,904.9335346548406,630.8711948282967,894.9254431695617
299,1,631.2081109053772,904.9548867361854,630.7842867736708,894.9529945497173
